Category,Subcategory,Fast_Food,Pub_Bar,Gambling,Tobacco,Leisure
Non Retail,Merged Properties,,,,,
Taxis & Transport,Metro Stations,,,,,
Taxis & Transport,Metrolink Stations,,,,,
Taxis & Transport,Minicabs,,,,,
Home & Garden,Mirrors & Decorative Glass,,,,,
Shops & Amenities,Miscellaneous,,,,,
Shops & Amenities,Mobile Phones,,,,,
Shops & Amenities,Mobility Services,,,,,
Shops & Amenities,Model Shops,,,,,
Shops & Amenities,Mortgage Companies & Advisors,,,,,
Taxis & Transport,MOT Testing Centres,,,,,
Taxis & Transport,Motorbikes & Accessories,,,,,
Events & Attractions,Museums & Art Galleries,,,,,
Shops & Amenities,Music Shops,,,,,
Health & Beauty,Nail Salons,,,,,
Shops & Amenities,New Age Shops,,,,,
Shops & Amenities,Newsagents,,,,,
"Pubs, Bars & Clubs",Night Clubs,,1,,,
Shops & Amenities,Nursery Goods & Accessories,,,,,
Health & Beauty,Nursing Homes,,,,,
Shops & Amenities,Office Supplies,,,,,
Non Retail,Offices,,,,,
Health & Beauty,Opticians,,,,,
Events & Attractions,Paintball & Combat Games,,,,,
Home & Garden,Painting & Decorating Supplies,,,,,
Events & Attractions,Parks & Squares,,,,,
Shops & Amenities,Party Goods / Novelties,,,,,
Events & Attractions,Party Venues & Function Rooms,,,,,
Shops & Amenities,Pawnbrokers,,,,,
Shops & Amenities,Pet Shops & Pet Supplies,,,,,
Taxis & Transport,Petrol Filling Stations,,,,,
Shops & Amenities,Photographers,,,,,
Shops & Amenities,Photographic - Retail,,,,,
Shops & Amenities,Pianos & Accessories,,,,,
Shops & Amenities,Picture & Photo Framers,,,,,
Shops & Amenities,Picture & Picture Frame Restoration,,,,,
Food & Drink,Pizza Takeaway,1,,,,
Home & Garden,Plumbers,,,,,
Home & Garden,Plumbers Merchants,,,,,
Non Retail,Police,,,,,
Shops & Amenities,Post Office Services,,,,,
Shops & Amenities,"Postal, Packing & Shipping",,,,,
Shops & Amenities,Potteries & Ceramics,,,,,
Shops & Amenities,Printer Cartridges,,,,,
Shops & Amenities,Printers,,,,,
"Pubs, Bars & Clubs",Private Clubs,,,,,
Non Retail,Property Consultants,,,,,
"Pubs, Bars & Clubs",Public Houses & Inns,,1,,,
Events & Attractions,Race Courses,,,,,
Non Retail,Recording Studio,,,,,
Shops & Amenities,"Records, Tapes & CD's",,,,,
Shops & Amenities,Recruitment Agencies,,,,,
Non Retail,Residential Properties,,,,,
Restaurants,Restaurant - Afghan,,,,,
Restaurants,Restaurant - African,,,,,
Restaurants,Restaurant - American,,,,,
Restaurants,Restaurant - Argentinian,,,,,
Restaurants,Restaurant - Asian,,,,,
Restaurants,Restaurant - Austrian,,,,,
Restaurants,Restaurant - Bangladeshi,,,,,
Restaurants,Restaurant - Belgian,,,,,
Restaurants,Restaurant - Brasserie,,,,,
Restaurants,Restaurant - Brazilian,,,,,
Restaurants,Restaurant - British,,,,,
Restaurants,Restaurant - Burmese,,,,,
Restaurants,Restaurant - Caribbean,,,,,
Restaurants,Restaurant - Chinese,,,,,
Restaurants,Restaurant - Colombian,,,,,
Restaurants,Restaurant - Continental,,,,,
Restaurants,Restaurant - Creperie,,,,,
Restaurants,Restaurant - Cuban,,,,,
Restaurants,Restaurant - Danish,,,,,
Restaurants,Restaurant - Eastern European,,,,,
Restaurants,Restaurant - Egyptian,,,,,
Restaurants,Restaurant - English,,,,,
Restaurants,Restaurant - European,,,,,
Restaurants,Restaurant - French,,,,,
Restaurants,Restaurant - German,,,,,
Restaurants,Restaurant - Greek,,,,,
Restaurants,Restaurant - Hungarian,,,,,
Restaurants,Restaurant - Indian,,,,,
Restaurants,Restaurant - Indonesian,,,,,
Restaurants,Restaurant - International,,,,,
Restaurants,Restaurant - Iranian,,,,,
Restaurants,Restaurant - Iraqi,,,,,
Restaurants,Restaurant - Irish,,,,,
Restaurants,Restaurant - Italian,,,,,
Restaurants,Restaurant - Jamaican,,,,,
Restaurants,Restaurant - Japanese,,,,,
Restaurants,Restaurant - Korean,,,,,
Restaurants,Restaurant - Kosher,,,,,
Restaurants,Restaurant - Lebanese,,,,,
Restaurants,Restaurant - Malaysian,,,,,
Restaurants,Restaurant - Mauritian,,,,,
Restaurants,Restaurant - Mediterranean,,,,,
Restaurants,Restaurant - Mexican/Tex Mex,,,,,
Restaurants,Restaurant - Middle Eastern,,,,,
